PC03200     	7109.79264	7471.67622
PC03400     	7206.9077	5401.31714
PC03850     	7423.58333	7078.29442
PC04600     	7813.99631	6386.53409
PG0300_100  	6416.42857	5120.83333
PI04340     	4349.45602	78.96076
PI04400     	4442.20027	94.82571
PI04465     	4478.30819	84.90275
PI04530     	4546.28514	95.79018
PI04600     	4620.15796	109.48036
PI04670     	4690.46912	91.18614
PI04740     	4756.78886	112.37486
PI04820     	4859.92215	106.29626
PI04895     	4911.77618	101.24736
PI04975     	5024.18423	110.61525
PI05060     	5063.45815	110.46372
PI05145     	5176.67595	117.68128
PI05235     	5237.27035	118.36555
PI05325     	5371.34061	130.24273
PI05420     	5428.49386	127.80845
PI05520     	5562.63023	136.45216
PI05620     	5632.44361	133.66402
PI05725     	5745.61176	136.85251
PI05830     	5831.52979	142.79366
PI05945     	5992.33718	157.03676
PI06055     	6062.7578	148.57199
PI06170     	6203.19898	160.22809
PI06290     	6300.51664	158.2638
PI06410     	6446.81574	155.13268
PI06530     	6535.54797	155.9579
PI06645     	6674.49664	154.28784
PI06765     	6765.89281	167.38981
PI06885     	6933.42989	171.85969
PI07005     	7020.25338	161.99153
PI07130     	7154.79874	149.07216
PI07260     	7254.04147	183.97478
PI07390     	7445.85765	210.6402
PI07535     	7557.79766	202.03314
PI07685     	7721.54239	182.80721
PI07840     	7832.41344	207.53677
PI08005     	8035.73969	234.85099
PI08175     	8180.09829	224.91329
PI08350     	8389.94247	304.27971
PI08535     	8574.05292	245.12135
PI08730     	8800.70104	283.03128
f4340       	4351.76135	78.96076
f4465       	4479.58424	84.90275
f5234       	5237.39279	118.36555
f6055       	6062.90664	148.57199
f6290       	6300.56645	158.2638
f7840       	7832.37269	207.53677
